Ticker,Strategy,Sharpe
Q,MA,5.887172596788502
LMT,MA,5.850806196891313
CVS,MR,5.282571412204277
CCI,MR,5.020900457824875
KVUE,MR,4.946090153925359
FDX,MA,4.915068316002817
JBHT,MA,4.705086566467623
TXT,MR,4.481278999682594
CSX,MA,4.414020084826474
FCX,MA,4.294141487205007
