Ticker,MA_Final,MR_Final,AD_Final,MA_Sharpe,MR_Sharpe,AD_Sharpe
MMM,SIDEWAYS,10021.569173477172,10364.139634780888,10021.569173477172,0.1418009279767995,1.4131839801246107,0.1418009279767995
AOS,SIDEWAYS,11021.263888328553,10475.821884483339,10475.821884483339,3.5077165247804594,2.969859545739702,2.969859545739702
ABT,SIDEWAYS,9744.273449195862,10283.084981124877,10283.084981124877,-1.3411920893728848,1.9913846076816475,1.9913846076816475
ABBV,SIDEWAYS,10123.77902444458,9964.738735626222,9964.738735626222,0.47821120905660086,-0.1590954116999723,-0.1590954116999723
ACN,SIDEWAYS,9922.490754608152,9345.328955520628,9345.328955520628,-0.23528233590918354,-1.3873995210354897,-1.3873995210354897
ADBE,SIDEWAYS,9922.454021057125,10030.839046981813,10030.839046981813,-0.4114032597528121,0.16667166215292836,0.16667166215292836
AMD,SIDEWAYS,10284.619130722043,9591.45654753113,10284.619130722043,0.7309227781635105,-0.4570698836630109,0.7309227781635105
AES,TRENDING,9622.324023511885,9943.490931763648,9943.490931763648,-0.5105914323509799,-0.3486937460739342,-0.3486937460739342
AFL,SIDEWAYS,9820.865467720032,9885.43840385437,9885.43840385437,-0.9209073925835994,-2.3032592987913434,-2.3032592987913434
A,SIDEWAYS,9278.852609771726,9489.08907248688,9489.08907248688,-3.915381889477552,-1.8296210913003674,-1.8296210913003674
APD,SIDEWAYS,10038.857603775024,10325.028995895387,10325.028995895387,0.1683806362892289,1.7475585252438977,1.7475585252438977
ABNB,SIDEWAYS,10339.329416793827,10340.450109672547,10340.450109672547,1.466861573451479,1.4700964091795479,1.4700964091795479
AKAM,TRENDING,9464.677175956727,10461.95850012207,9464.677175956727,-0.887061710710649,1.7937808664513413,-0.887061710710649
ALB,TRENDING,10946.722074516294,10918.842611740114,10946.722074516294,1.548275052385433,1.64346861916845,1.548275052385433
ARE,TRENDING,9258.23250863266,10106.514984897614,10106.514984897614,-1.9828963001679178,0.5163477433519524,0.5163477433519524
ALGN,TRENDING,9630.698183975219,11213.530073272705,9630.698183975219,-0.9926226730614441,2.8206412359258035,-0.9926226730614441
ALLE,TRENDING,9825.44632611084,9694.1824707489,9694.1824707489,-0.5220890443325075,-1.5799662912513417,-1.5799662912513417
LNT,SIDEWAYS,9937.505926559446,9930.791452819823,9930.791452819823,-0.30677593810306436,-2.145560742129081,-2.145560742129081
ALL,SIDEWAYS,9446.554424530032,10037.213910842893,10037.213910842893,-2.0967030359618852,0.2811731537367879,0.2811731537367879
GOOGL,SIDEWAYS,10379.522335479738,9800.669166412354,10379.522335479738,1.274061125486541,-1.0719781415940974,1.274061125486541
GOOG,SIDEWAYS,10386.573267211916,9928.40503918457,10386.573267211916,1.3071349665406495,-0.3353974424920982,1.3071349665406495
MO,SIDEWAYS,9807.295287826539,10603.676709777832,10603.676709777832,-0.7675334802772341,4.186073946697296,4.186073946697296
AMZN,SIDEWAYS,9285.416132156372,9562.20908642578,9285.416132156372,-3.0399731914832984,-1.5655854303757974,-3.0399731914832984
AMCR,SIDEWAYS,10297.755267967223,9980.586582778931,9980.586582778931,1.1150535150302898,-0.05636164925898696,-0.05636164925898696
AEE,SIDEWAYS,9925.2623711319,9844.515802452086,9844.515802452086,-0.35986170572452597,-4.136854995065256,-4.136854995065256
AEP,SIDEWAYS,10548.946575378417,9848.249800704956,9848.249800704956,2.533263704256631,-2.497542007683001,-2.497542007683001
AXP,SIDEWAYS,10011.709511505125,9717.755690948487,9717.755690948487,0.09358635469042484,-0.7566466217031027,-0.7566466217031027
AIG,SIDEWAYS,10225.542632713317,9640.289655006409,9640.289655006409,0.739769851151572,-2.564655517739293,-2.564655517739293
AMT,TRENDING,9193.343908508295,10603.337317047119,10603.337317047119,-3.2447402715026947,3.5868282089900823,3.5868282089900823
AWK,SIDEWAYS,9652.085044769286,10306.820924774169,10306.820924774169,-1.9916429359127057,1.7341390376418389,1.7341390376418389
