Ticker,Strategy,Sharpe
AEE,MR,2.0090757969771817
ALL,MR,1.7491188648231784
AKAM,MR,1.6908345317315931
MO,MR,1.3122405028652033
ABT,MR,1.2365678699861753
MMM,MR,1.208769476974046
GOOGL,MA,1.1484955527735283
APD,MR,1.0666442909545872
AMCR,MR,1.0598286217829544
AEP,MR,1.0300696697145308
