Ticker,Strategy,Sharpe
ALL,MR,1.7511231968594256
AKAM,MR,1.692767884342118
MMM,MR,1.2503495269434113
ABT,MR,1.2379746186553309
GOOGL,MA,1.1630545663352045
APD,MR,1.067858417165568
LNT,MR,0.8544389141517964
AMD,MA,0.7109446132115536
AOS,MR,0.6080650851122746
ALB,MA,0.5984053303449653
