Ticker,Strategy,Sharpe
Q,MA,5.1692747473221
SNDK,MA,3.653262763804541
PG,MR,2.2440890889830474
NI,MR,2.229108223796426
KR,MR,2.1696987348727244
TPR,MA,2.1202129358476256
CAH,MR,2.0582198448803224
GS,MA,2.0376337760729606
AEE,MR,2.009076838840678
L,MR,1.9880878536542173
