Ticker,MA_Final,MR_Final,AD_Final,MA_Sharpe,MR_Sharpe,AD_Sharpe
CRWD,9445.083960083008,10322.052771850584,9445.083960083008,-3.56481976481979,0.8152903344010344,-3.56481976481979
CCI,9622.391892532349,11189.305914375305,11189.305914375305,-1.7883430704944798,4.982979032840666,4.982979032840666
CSX,10834.239769672397,10253.09055418396,10253.09055418396,4.381363236621312,2.9695573768754255,2.9695573768754255
CMI,10928.471189971924,10676.963903015137,10928.471189971924,1.9502935462668745,3.3589729971129985,1.9502935462668745
CVS,9160.125802581792,11049.696896179197,11049.696896179197,-1.8341463838310113,5.242290045865966,5.242290045865966
DHR,9909.200187835688,9720.397125869753,9720.397125869753,-0.3296211020760653,-1.6673612217489608,-1.6673612217489608
DRI,9963.524615951539,10394.351756469725,10394.351756469725,-0.04757660499810245,2.9746881933035803,2.9746881933035803
DDOG,8397.569589431761,9944.88675417328,8397.569589431761,-4.3626392965160115,0.05831861423971386,-4.3626392965160115
DVA,10065.886200279236,10193.4426279068,10193.4426279068,0.28308849677154674,1.2117162808422028,1.2117162808422028
DECK,10345.890745262144,10904.093564826966,10904.093564826966,1.0165308221009588,1.6393484606402546,1.6393484606402546
DE,10841.923090179444,9814.300547912599,9814.300547912599,2.008131570503894,-1.7525881402425625,-1.7525881402425625
DELL,11201.762575050354,9858.9608108902,11201.762575050354,1.7342988917086095,-0.1984899224625591,1.7342988917086095
DAL,9660.70885526657,10521.744401126862,9660.70885526657,-0.9662915855996812,1.436989794150216,-0.9662915855996812
DVN,10641.641908699035,10283.113153804781,10283.113153804781,1.6811142499263643,1.0872563995546423,1.0872563995546423
DXCM,10203.655653381347,9953.371919555662,9953.371919555662,0.8920536750883218,-0.22273985834564383,-0.22273985834564383
FANG,10209.457829284667,10145.768063415526,10145.768063415526,0.6471606594064222,0.6404776450102391,0.6404776450102391
DLR,10091.221008529661,9969.582490417479,9969.582490417479,0.42920843922597285,-0.2791391124676742,-0.2791391124676742
DG,11548.722348663328,10244.423812164307,10244.423812164307,2.738538847519933,1.2398636591743333,1.2398636591743333
DLTR,9459.668855163574,10099.672128448485,9459.668855163574,-1.1957885270088038,0.36314243161035725,-1.1957885270088038
D,9859.23989806747,10259.41318144989,10259.41318144989,-0.6235012685893156,2.5430717020788216,2.5430717020788216
DPZ,9943.031288909911,9913.433691162107,9913.433691162107,-0.30747747997788294,-0.5384804813574532,-0.5384804813574532
DASH,10104.10399583435,9376.407704208372,9376.407704208372,0.4692965472903897,-1.438187546080441,-1.438187546080441
DOV,11032.766007354734,10410.59455441284,11032.766007354734,3.305324712657646,2.3404751086689073,3.305324712657646
DOW,10845.660554109574,11770.00829565811,11770.00829565811,1.5348667345167262,3.539723149915044,3.539723149915044
DHI,9392.009814865112,11052.288724456788,11052.288724456788,-1.7492933889702043,2.6731064193150664,2.6731064193150664
DTE,10620.021454528807,9908.358342361451,9908.358342361451,3.4636100360768616,-2.1522160684391625,-2.1522160684391625
DUK,10209.078699295042,9938.099412200927,9938.099412200927,1.458191571456035,-1.2603208857765076,-1.2603208857765076
DD,10445.671742000575,9995.37250491333,10445.671742000575,1.2556730141626413,0.02488404774241787,1.2556730141626413
ETN,10242.377151885983,10144.514993896482,10242.377151885983,0.7579088948979389,0.6351974617822058,0.7579088948979389
EBAY,10112.94380679321,9728.616188194275,9728.616188194275,0.4046861573711949,-0.9011740577563032,-0.9011740577563032
ECL,10091.51154919434,9930.331850891112,9930.331850891112,0.44602385344439205,-0.7375816844635549,-0.7375816844635549
EIX,10690.772591350556,10006.52256124878,10006.52256124878,2.3912836791455625,0.0781110196674976,0.0781110196674976
EW,9901.55248373413,9778.377209236143,9778.377209236143,-0.4253036707696236,-0.893490659844894,-0.893490659844894
EA,10021.666617431643,10053.240506362916,10053.240506362916,0.7062838072953235,1.2362827589693863,1.2362827589693863
