Ticker,MA_Final,MR_Final,AD_Final,MA_Sharpe,MR_Sharpe,AD_Sharpe
MMM,11026.994209358218,12173.513403457642,12173.513403457642,0.54422621751054,1.3259551071972016,1.3259551071972016
AOS,10104.539318294519,10689.80922628404,10689.80922628404,0.11156263941592326,0.607379243378015,0.607379243378015
ABT,10186.69745874023,10935.345169517512,10935.345169517512,0.1937696271618493,1.2365664113275205,1.2365664113275205
ABBV,9355.041658432008,9416.621593368527,9416.621593368527,-0.3613246820921672,-0.5768250374060601,-0.5768250374060601
ACN,9051.76149623108,9312.020605514525,9312.020605514525,-0.7019994246238794,-0.37530558939916836,-0.37530558939916836
ADBE,8836.532794464118,9227.348625656134,9227.348625656134,-0.7476044660055067,-0.5183272269100765,-0.5183272269100765
AMD,12066.648491783137,10290.143248016357,10290.143248016357,0.7205178754868587,0.18175978976130616,0.18175978976130616
AES,8746.275834254258,7825.480638484954,7825.480638484954,-0.3272313145269042,-1.1313428584351113,-1.1313428584351113
AFL,9853.574721244804,10120.837625831606,10120.837625831606,-0.07283178531947791,0.18068481954151738,0.18068481954151738
A,8827.811884521483,10086.285608154298,10086.285608154298,-0.6916599083515041,0.09897324613807731,0.09897324613807731
APD,9481.976283599863,11583.095128494264,11583.095128494264,-0.2756796747636595,1.0666462374829422,1.0666462374829422
ABNB,9841.550959548955,10329.613877998352,10329.613877998352,-0.02642181716903992,0.21040325014669695,0.21040325014669695
AKAM,8660.973092567441,13591.68478881073,13591.68478881073,-0.7053083391021825,1.6024829411296209,1.6024829411296209
ALB,11818.389508579261,10875.609307491308,11818.389508579261,0.5991051836825527,0.3292813850822135,0.5991051836825527
ARE,9027.92224645233,8494.226769409182,8494.226769409182,-0.6293868402331421,-0.9320806797532091,-0.9320806797532091
ALGN,6991.95546774293,10946.200982620237,10946.200982620237,-1.090419844063656,0.4512673629186266,0.4512673629186266
ALLE,10246.998579483028,10448.860068283091,10448.860068283091,0.20580713234090842,0.4805646247753607,0.4805646247753607
LNT,10212.707377883915,10511.114309844972,10511.114309844972,0.21823643381722696,0.7748463058978912,0.7748463058978912
ALL,9723.32965637206,12027.249865585327,12027.249865585327,-0.16736473798761586,1.7154046708532613,1.7154046708532613
GOOGL,12306.043244018561,10779.5095607605,12306.043244018561,1.1734991712865153,0.5505515941979962,1.1734991712865153
GOOG,11499.658304244993,10979.758150100708,11499.658304244993,0.8047524560915376,0.6829874327671206,0.8047524560915376
MO,10901.270650779727,10842.307035224916,10842.307035224916,0.672465466934129,1.3122389386302684,1.3122389386302684
AMZN,11002.381346206657,9435.790651092528,9435.790651092528,0.5684007184029113,-0.331261727796131,-0.331261727796131
AMCR,8750.560665657038,11391.262953544614,8750.560665657038,-0.8517738062227902,1.32739982915451,-0.8517738062227902
AEE,10517.663643165592,11115.099577316283,11115.099577316283,0.48419218413352055,2.0073213220723467,2.0073213220723467
AEP,10836.761560249328,10717.653992744445,10717.653992744445,0.6649225498209863,0.9756475558890739,0.9756475558890739
AXP,10670.612783798217,9925.594349639892,9925.594349639892,0.4440352137139933,0.005879729546137558,0.005879729546137558
